,rhofold,alphafold3,rnajp,rnacomposer,trrosettarna2
GDT-TS,0.45895404478150953,0.36432753293218406,0.4004290132694802,0.3969484418676882,0.578787284144427
P-VALUE,0.7118443480464046,0.5045547126248253,0.5024025690945138,0.47455531331247214,0.8745833333333334
INF-ALL,0.6551403112115973,0.6358617766384758,0.5906746906429091,0.5921455436018543,0.5578478964401294
MCQ,0.3483352672607135,0.5795979204003052,0.44434412186877814,0.43934992356100416,0.4512887008740679
TM-score,0.3754100095228018,0.3017399267399267,0.5123190301761731,0.40673975557153125,0.4275147928994082
lDDT,0.7108621876844382,0.6933147089397089,0.0574293228139382,0.6417834276700382,0.7267263986013984
RMSD,0.8184981772005434,0.7138033909548939,0.7082284162325607,0.71022721324998,0.8817172897196262
BARNABA-eRMSD,0.5481348529954677,0.3222486653373641,0.35082652556321886,0.3016330403265077,0.44869186046511633
